iter	Passed	Remaining
654	20892	11004
655	20935	10978
656	20967	10946
657	20997	10913
658	21040	10887
659	21077	10858
660	21107	10825
661	21137	10792
662	21168	10759
663	21202	10729
664	21238	10698
665	21268	10666
666	21298	10633
667	21329	10600
668	21359	10568
669	21390	10535
670	21421	10503
671	21451	10470
672	21486	10440
673	21526	10412
674	21559	10380
675	21591	10348
676	21629	10319
677	21662	10288
678	21694	10255
679	21725	10223
680	21754	10190
681	21786	10158
682	21829	10131
683	21861	10099
684	21893	10067
685	21929	10037
686	21962	10005
687	22000	9977
688	22039	9948
689	22073	9917
690	22110	9887
691	22146	9857
692	22174	9823
693	22205	9791
694	22234	9757
695	22265	9725
696	22295	9692
697	22327	9660
698	22357	9627
699	22388	9595
700	22420	9562
701	22452	9530
702	22485	9499
703	22516	9467
704	22547	9434
705	22580	9403
706	22618	9373
707	22657	9344
708	22694	9314
709	22726	9282
710	22756	9249
711	22786	9217
712	22827	9188
713	22872	9161
714	22911	9132
715	22942	9100
716	22980	9070
717	23011	9037
718	23054	9010
719	23086	8978
720	23117	8945
721	23148	8913
722	23180	8881
723	23211	8848
724	23242	8816
725	23274	8783
726	23304	8751
727	23340	8720
728	23371	8688
729	23397	8653
730	23430	8622
731	23462	8590
732	23492	8557
733	23528	8526
734	23559	8494
735	23595	8463
736	23626	8431
737	23657	8398
738	23691	8367
739	23722	8334
740	23755	8303
741	23787	8270
742	23819	8238
743	23849	8206
744	23880	8173
745	23912	8141
746	23942	8109
747	23974	8077
748	24007	8045
749	24045	8015
750	24078	7983
751	24112	7951
752	24143	7919
753	24180	7889
754	24217	7858
755	24250	7826
756	24282	7794
757	24313	7762
758	24343	7729
759	24377	7698
760	24408	7665
761	24445	7635
762	24477	7603
763	24513	7572
764	24543	7539
765	24576	7507
766	24608	7475
767	24639	7443
768	24670	7410
769	24702	7378
770	24733	7346
771	24765	7314
772	24796	7281
773	24825	7248
774	24856	7216
775	24887	7183
776	24926	7153
777	24959	7122
778	24990	7089
779	25023	7057
780	25054	7025
781	25084	6992
782	25121	6962
783	25152	6929
784	25190	6899
785	25222	6867
786	25253	6834
787	25289	6803
788	25326	6772
789	25357	6740
790	25389	6708
791	25422	6676
792	25459	6645
793	25491	6613
794	25523	6581
795	25560	6550
796	25592	6518
797	25632	6488
